"","study","time","cra","cra_lower","cra_upper","msl","msl_lower","msl_upper","sortby","display","cra_0","msl_0","cra_se","msl_se","cra_k","msl_k"
"540","M20-466",34,1.01596172011321,1.00986338685797,1.02209687980357,1.17822383474982,1.06531096986221,1.30310439303196,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"541","M20-466",35,1.01443123254262,1.00892020365988,1.01997236434057,1.17380334370859,1.06376738496677,1.29522140758668,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"542","M20-466",36,1.01304843641279,1.00806757194189,1.01805391134787,1.16950018495101,1.06226133761499,1.28756515385499,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"543","M20-466",37,1.01179890876624,1.00729673289058,1.01632120739912,1.16531088738833,1.0607918666792,1.28012808819588,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"544","M20-466",38,1.01066966605048,1.00659978673936,1.01475600067763,1.16123209887561,1.05935803782762,1.27290296510543,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"545","M20-466",39,1.00964901490751,1.00596960638143,1.01334188114345,1.15726058141748,1.05795894268049,1.26588282330649,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"546","M20-466",40,1.00872641941588,1.00539976005122,1.01206408600669,1.15339320659812,1.05659369799673,1.25906097258476,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"547","M20-466",41,1.00789238280124,1.00488444205531,1.01090932727651,1.14962695122358,1.05526144489017,1.25243098132633,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"548","M20-466",42,1.00713834189847,1.00441841066007,1.00986563861909,1.14595889316539,1.05396134807388,1.24598666471476,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"549","M20-466",43,1.00645657287565,1.00399693235118,1.00892223914712,1.14238620739483,1.05269259513166,1.23972207354866,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"550","M20-466",44,1.00584010692328,1.00361573177442,1.00806941209131,1.13890616219799,1.05145439581528,1.233631483643,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"551","M20-466",45,1.00528265477755,1.00327094674811,1.00729839658192,1.13551611556235,1.05024598136676,1.22770938578011,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"552","M20-466",46,1.00477853908786,1.00295908780848,1.00660129100333,1.13221351172592,1.04906660386433,1.22195047617827,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"553","M20-466",47,1.00432263376071,1.0026770018105,1.0059709665852,1.1289958778808,1.04791553559141,1.21634964744795,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"554","M20-466",48,1.00391030951707,1.00242183916097,1.00540099006445,1.12586082102324,1.04679206842742,1.2109019800077,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"555","M20-466",49,1.00353738499119,1.00219102430743,1.00488555439908,1.12280602494281,1.0456955132598,1.20560273393337,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"556","M20-466",50,1.0032000827776,1.00198222914814,1.00441941664036,1.11982924734375,1.04462519941614,1.20044734121612,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"557","M20-466",51,1.00289498990167,1.00179334906459,1.00399784217875,1.11692831709183,1.04358047411583,1.1954313984061,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"558","M20-466",52,1.00261902224888,1.0016224813104,1.00361655467254,1.11410113158059,1.04256070194034,1.19055065962018,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"559","M20-466",53,1.00236939254011,1.00146790551852,1.00327169104937,1.11134565421098,1.04156526432144,1.18580102989346,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"560","M20-466",54,1.00214358148636,1.00132806611411,1.00295976104186,1.10865991197891,1.04059355904669,1.18117855885551,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"561","M20-466",55,1.00193931179623,1.00120155644244,1.00267761077978,1.10604199316547,1.03964499978143,1.17667943471343,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"562","M20-466",56,1.00175452474524,1.00108710444132,1.0024223900153,1.10349004512471,1.03871901560675,1.17229997852502,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"563","M20-466",57,1.0015873590471,1.00098355970473,1.00219152260488,1.10100227216443,1.03781505057281,1.16803663874617,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"564","M20-466",58,1.00143613179485,1.00088988180043,1.00198267991303,1.09857693351551,1.03693256326675,1.16388598603771,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"565","M20-466",59,1.00129932126412,1.00080512971791,1.00179375683914,1.0962123413854,1.03607102639498,1.15984470831784,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
