"name","eng","country","region","study","priority","log_avg_sr","se_sr","avg_log_mult","se_mult","CRA_Window","MSL_Window","avg_mult","sortby","display"
"M22-000 Spain CRA Engaged","CRA Window","Spain","Overall","M22-000","Overall",NA,NA,0.269019925894358,0.516227274370858,25,28,1.30868121743036,"Immunology >> M22-000","   M22-000"
"M22-000 Spain MSL Engaged","MSL Window","Spain","Overall","M22-000","Overall",NA,NA,0.206713581778666,0.749175288080605,25,28,1.22963033280651,"Immunology >> M22-000","   M22-000"
"M23-696 CRA Engaged","CRA Window","Overall","Overall","M23-696","Overall",NA,NA,0.497615250466325,0.0663738464143915,27,31,1.64479416785813,"Immunology >> M23-696","   M23-696"
"M23-696 MSL Engaged","MSL Window","Overall","Overall","M23-696","Overall",NA,NA,0.178486713440344,0.0741855409498221,27,31,1.19540700032154,"Immunology >> M23-696","   M23-696"
"M23-696 Australia CRA Engaged","CRA Window","Australia","Overall","M23-696","Overall",NA,NA,-0.327187357866457,0.473205555609128,27,31,0.720948654970277,"Immunology >> M23-696","   M23-696"
"M23-696 Australia MSL Engaged","MSL Window","Australia","Overall","M23-696","Overall",NA,NA,0.955869206456113,0.511884420359095,27,31,2.60093034612562,"Immunology >> M23-696","   M23-696"
"M23-696 Bulgaria CRA Engaged","CRA Window","Bulgaria","Overall","M23-696","Overall",NA,NA,-1.43619677848291,0.77732099157718,27,31,0.237830563126365,"Immunology >> M23-696","   M23-696"
"M23-696 Bulgaria MSL Engaged","MSL Window","Bulgaria","Overall","M23-696","Overall",NA,NA,0.983042981990192,0.533309302804142,27,31,2.67257648289483,"Immunology >> M23-696","   M23-696"
"M23-696 Canada CRA Engaged","CRA Window","Canada","Overall","M23-696","Overall",NA,NA,-0.0817649377359358,0.331748983300444,27,31,0.921488540422877,"Immunology >> M23-696","   M23-696"
"M23-696 Canada MSL Engaged","MSL Window","Canada","Overall","M23-696","Overall",NA,NA,0.65433904596347,0.468927260125496,27,31,1.92387050707509,"Immunology >> M23-696","   M23-696"
"M23-696 China CRA Engaged","CRA Window","China","Overall","M23-696","Overall",NA,NA,0.00236993886115742,0.325350027100399,27,31,1.00237274938608,"Immunology >> M23-696","   M23-696"
"M23-696 China MSL Engaged","MSL Window","China","Overall","M23-696","Overall",NA,NA,0.322984796053976,0.385597760853035,27,31,1.38124435038144,"Immunology >> M23-696","   M23-696"
"M23-696 Germany CRA Engaged","CRA Window","Germany","Overall","M23-696","Overall",NA,NA,-0.142151372221228,0.30692862974421,27,31,0.867489932668775,"Immunology >> M23-696","   M23-696"
"M23-696 Germany MSL Engaged","MSL Window","Germany","Overall","M23-696","Overall",NA,NA,0.479669389699532,0.378769731493233,27,31,1.6155401996605,"Immunology >> M23-696","   M23-696"
"M23-696 Hungary CRA Engaged","CRA Window","Hungary","Overall","M23-696","Overall",NA,NA,-0.394234744683494,0.350198343090501,27,31,0.674195773789658,"Immunology >> M23-696","   M23-696"
"M23-696 Hungary MSL Engaged","MSL Window","Hungary","Overall","M23-696","Overall",NA,NA,0.415242593305292,0.495322906933959,27,31,1.51473816146058,"Immunology >> M23-696","   M23-696"
"M23-696 Italy CRA Engaged","CRA Window","Italy","Overall","M23-696","Overall",NA,NA,0.469516211797935,0.534414981469129,27,31,1.59922032211326,"Immunology >> M23-696","   M23-696"
"M23-696 Italy MSL Engaged","MSL Window","Italy","Overall","M23-696","Overall",NA,NA,1.10645340264456,0.630306332022013,27,31,3.02361580805306,"Immunology >> M23-696","   M23-696"
"M23-696 Japan CRA Engaged","CRA Window","Japan","Overall","M23-696","Overall",NA,NA,-0.338785894312324,0.468348943784835,27,31,0.712635011965618,"Immunology >> M23-696","   M23-696"
"M23-696 Japan MSL Engaged","MSL Window","Japan","Overall","M23-696","Overall",NA,NA,0.117630503828133,0.673121868153417,27,31,1.12482841477966,"Immunology >> M23-696","   M23-696"
"M23-696 Poland CRA Engaged","CRA Window","Poland","Overall","M23-696","Overall",NA,NA,-0.302743694926695,0.290218263902297,27,31,0.738788427328227,"Immunology >> M23-696","   M23-696"
"M23-696 Poland MSL Engaged","MSL Window","Poland","Overall","M23-696","Overall",NA,NA,0.380797360540314,0.390236058884884,27,31,1.46345102243657,"Immunology >> M23-696","   M23-696"
"M23-696 Portugal CRA Engaged","CRA Window","Portugal","Overall","M23-696","Overall",NA,NA,-0.282310849757283,0.334065765152904,27,31,0.754039255179369,"Immunology >> M23-696","   M23-696"
"M23-696 Portugal MSL Engaged","MSL Window","Portugal","Overall","M23-696","Overall",NA,NA,0.952081026331158,0.414264970235113,27,31,2.59109619201586,"Immunology >> M23-696","   M23-696"
"M23-696 Puerto Rico CRA Engaged","CRA Window","Puerto Rico","Overall","M23-696","Overall",NA,NA,-1.38490308026166,0.606971716134403,27,31,0.250348062284609,"Immunology >> M23-696","   M23-696"
"M23-696 Puerto Rico MSL Engaged","MSL Window","Puerto Rico","Overall","M23-696","Overall",NA,NA,3.08877629345902,0.820647998903295,27,31,21.9502009298553,"Immunology >> M23-696","   M23-696"
"M23-696 Slovakia CRA Engaged","CRA Window","Slovakia","Overall","M23-696","Overall",NA,NA,-0.732804523221562,0.557032597929159,27,31,0.480559358557912,"Immunology >> M23-696","   M23-696"
"M23-696 Slovakia MSL Engaged","MSL Window","Slovakia","Overall","M23-696","Overall",NA,NA,-0.671089935833973,0.596264989628462,27,31,0.511151152105357,"Immunology >> M23-696","   M23-696"
"M23-696 South Africa CRA Engaged","CRA Window","South Africa","Overall","M23-696","Overall",NA,NA,-0.0144582368839878,0.47442657037357,27,31,0.985645781511954,"Immunology >> M23-696","   M23-696"
"M23-696 South Africa MSL Engaged","MSL Window","South Africa","Overall","M23-696","Overall",NA,NA,1.88601426939401,0.51346434271145,27,31,6.59303816872042,"Immunology >> M23-696","   M23-696"
"M23-696 South Korea CRA Engaged","CRA Window","South Korea","Overall","M23-696","Overall",NA,NA,-0.163189903753101,0.342956742438358,27,31,0.849429863177927,"Immunology >> M23-696","   M23-696"
"M23-696 South Korea MSL Engaged","MSL Window","South Korea","Overall","M23-696","Overall",NA,NA,-0.0531341674421736,0.537706224683205,27,31,0.948252779297281,"Immunology >> M23-696","   M23-696"
